"Structure"	"New_Structure"
"Tr_01092"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93048582-93048669 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcbvubrqcnponm"
"Tr_01093"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93048582-93048669 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcbvubrqcnponl"
"Tr_01094"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93048582-93048669 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcbvubrqcnponl"
"Tr_01095"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93048582-93048669 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcbvubrqcnonm"
"Tr_01096"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93048582-93048669 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcbvubrqcnonl"
"Tr_01097"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93048582-93048669 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcbvubrqcnonl"
"Tr_01098"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93048582-93048669 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93004044-93004117 chr8:92972432-92972549"	"gdcbvubrql"
"Tr_01099"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93048582-93048669 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93006733-93006851"	"gdcbvubra"
"Tr_01100"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93048582-93048669 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93025320-93025400 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"gdcbvusbrqcnp"
"Tr_01101"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93048582-93048669 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93025320-93025400 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcbvusbrqcnponm"
"Tr_01102"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93048582-93048669 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93025320-93025400 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcbvusbrqcnponl"
"Tr_01103"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93048582-93048669 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93025320-93025400 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcbvusbrqcnponl"
"Tr_01104"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93048582-93048669 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93025320-93025400 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcbvusbrqcnonm"
"Tr_01105"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93048582-93048669 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93025320-93025400 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcbvusbrqcnonl"
"Tr_01106"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93048582-93048669 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93025320-93025400 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcbvusbrqcnonl"
"Tr_01107"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93048582-93048669 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93025320-93025400 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93004044-93004117 chr8:92972432-92972549"	"gdcbvusbrql"
"Tr_01108"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93048582-93048669 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93025320-93025400 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93006733-93006851"	"gdcbvusbra"
"Tr_01109"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93048582-93048669 chr8:93029454-93029591 chr8:93026988-93027048 chr8:93003867-93004102 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcbvuqcnonm"
"Tr_01110"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93048582-93048669 chr8:93029454-93029591 chr8:93026988-93027048 chr8:93003867-93004102 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcbvuqcnonl"
"Tr_01111"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93048582-93048669 chr8:93029454-93029591 chr8:93026988-93027048 chr8:93003867-93004102 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcbvuqcnonl"
"Tr_01112"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93048582-93048669 chr8:93029454-93029591 chr8:93026988-93027048 chr8:93003867-93004102 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcbvuqcnponm"
"Tr_01113"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93048582-93048669 chr8:93029454-93029591 chr8:93026988-93027048 chr8:93003867-93004102 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcbvuqcnponl"
"Tr_01114"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93048582-93048669 chr8:93029454-93029591 chr8:93026988-93027048 chr8:93003867-93004102 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcbvuqcnponl"
"Tr_01115"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93048582-93048669 chr8:93029454-93029591 chr8:93026988-93027048 chr8:93003867-93004102 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"gdcbvuqcnp"
"Tr_01116"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:92972432-92972745"	"gdcbvl"
"Tr_01117"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcbvbrqcnonm"
"Tr_01118"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcbvbrqcnonl"
"Tr_01119"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcbvbrqcnonl"
"Tr_01120"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcbvbrqcnponm"
"Tr_01121"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcbvbrqcnponl"
"Tr_01122"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcbvbrqcnponl"
"Tr_01123"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"gdcbvbrqcnp"
"Tr_01124"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93004044-93004117 chr8:92972432-92972549"	"gdcbvbrql"
"Tr_01125"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93006733-93006851"	"gdcbvbra"
"Tr_01126"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcbvurqcnonm"
"Tr_01127"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcbvurqcnonl"
"Tr_01128"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcbvurqcnonl"
"Tr_01129"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcbvurqcnponm"
"Tr_01130"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcbvurqcnponl"
"Tr_01131"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcbvurqcnponl"
"Tr_01132"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"gdcbvurqcnp"
"Tr_01133"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93017344-93017525 chr8:93004044-93004117 chr8:92972432-92972549"	"gdcbvurql"
"Tr_01134"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93017344-93017525 chr8:93006733-93006851"	"gdcbvura"
"Tr_01135"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"gdcbvubrqcnp"
"Tr_01136"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcbvubrqcnponm"
"Tr_01137"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcbvubrqcnponl"
"Tr_01138"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcbvubrqcnponl"
"Tr_01139"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcbvubrqcnonm"
"Tr_01140"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcbvubrqcnonl"
"Tr_01141"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcbvubrqcnonl"
"Tr_01142"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93004044-93004117 chr8:92972432-92972549"	"gdcbvubrql"
"Tr_01143"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026807-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93006733-93006851"	"gdcbvubra"
"Tr_01144"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcbvurqcnonm"
"Tr_01145"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcbvurqcnonl"
"Tr_01146"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcbvurqcnonl"
"Tr_01147"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcbvurqcnponm"
"Tr_01148"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcbvurqcnponl"
"Tr_01149"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcbvurqcnponl"
"Tr_01150"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"gdcbvurqcnp"
"Tr_01151"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93004044-93004117 chr8:92972432-92972549"	"gdcbvurql"
"Tr_01152"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93017344-93017525 chr8:93006733-93006851"	"gdcbvura"
"Tr_01153"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"gdcbvubrqcnp"
"Tr_01154"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcbvubrqcnponm"
"Tr_01155"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcbvubrqcnponl"
"Tr_01156"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcbvubrqcnponl"
"Tr_01157"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcbvubrqcnonm"
"Tr_01158"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcbvubrqcnonl"
"Tr_01159"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcbvubrqcnonl"
"Tr_01160"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93004044-93004117 chr8:92972432-92972549"	"gdcbvubrql"
"Tr_01161"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93006733-93006851"	"gdcbvubra"
"Tr_01162"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93025320-93025400 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992124-92992159"	"gdcbvusbrqcnp"
"Tr_01163"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93025320-93025400 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcbvusbrqcnponm"
"Tr_01164"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93025320-93025400 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcbvusbrqcnponl"
"Tr_01165"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93025320-93025400 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92992005-92992159 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcbvusbrqcnponl"
"Tr_01166"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93025320-93025400 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92978584-92978609"	"gdcbvusbrqcnonm"
"Tr_01167"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93025320-93025400 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972432-92972745"	"gdcbvusbrqcnonl"
"Tr_01168"	"chr21:36259140-36259436 chr21:36252854-36253010 chr21:36231771-36231875 chr8:93051848-93051961 chr8:93029454-93029591 chr8:93026920-93027048 chr8:93025320-93025400 chr8:93023230-93023319 chr8:93017344-93017525 chr8:93003867-93004117 chr8:92999115-92999200 chr8:92998352-92998553 chr8:92988133-92988201 chr8:92982886-92983076 chr8:92972420-92972745"	"gdcbvusbrqcnonl"
